15	11	E	-9522163.910623983	127
emissionprobs	10	5	H3K4me3	1	2.7406011862574912E-5
emissionprobs	10	6	H3K79me2	0	0.4307457733495246
emissionprobs	10	6	H3K79me2	1	0.5692542266504755
emissionprobs	10	7	H3K9ac	0	0.9997466209301566
emissionprobs	10	7	H3K9ac	1	2.533790698432924E-4
emissionprobs	10	8	H3K9me	0	1.0
emissionprobs	10	8	H3K9me	1	0.0
emissionprobs	10	9	H3K9me3	0	1.0
emissionprobs	10	9	H3K9me3	1	0.0
emissionprobs	10	10	H4K20me1	0	0.9418354273561144
emissionprobs	10	10	H4K20me1	1	0.058164572643885595
emissionprobs	11	0	H3K27ac	0	0.9961392710124403
emissionprobs	11	0	H3K27ac	1	0.0038607289875596984
emissionprobs	11	1	H3K27me3	0	0.999769487043398
emissionprobs	11	1	H3K27me3	1	2.3051295660199485E-4
emissionprobs	11	2	H3K36me3	0	0.2087310168406237
emissionprobs	11	2	H3K36me3	1	0.7912689831593762
emissionprobs	11	3	H3K4me1	0	0.9105284483991543
emissionprobs	11	3	H3K4me1	1	0.08947155160084576
emissionprobs	11	4	H3K4me2	0	0.9932670480236978
emissionprobs	11	4	H3K4me2	1	0.00673295197630224
emissionprobs	11	5	H3K4me3	0	0.9964528411364142
emissionprobs	11	5	H3K4me3	1	0.003547158863585759
emissionprobs	11	6	H3K79me2	0	0.14626212823328724
emissionprobs	11	6	H3K79me2	1	0.8537378717667128
emissionprobs	11	7	H3K9ac	0	0.997091531430792
emissionprobs	11	7	H3K9ac	1	0.002908468569207963
emissionprobs	11	8	H3K9me	0	0.8235181754987972
emissionprobs	11	8	H3K9me	1	0.17648182450120284
emissionprobs	11	9	H3K9me3	0	0.8235181754987972
emissionprobs	11	9	H3K9me3	1	0.17648182450120284
emissionprobs	11	10	H4K20me1	0	0.7599409422961033
emissionprobs	11	10	H4K20me1	1	0.24005905770389666
emissionprobs	12	0	H3K27ac	0	0.9993039593446358
emissionprobs	12	0	H3K27ac	1	6.960406553641656E-4
emissionprobs	12	1	H3K27me3	0	0.9999643021060713
emissionprobs	12	1	H3K27me3	1	3.5697893928586584E-5
emissionprobs	12	2	H3K36me3	0	0.759428433924507
emissionprobs	12	2	H3K36me3	1	0.24057156607549313
emissionprobs	12	3	H3K4me1	0	0.9872547888526227
emissionprobs	12	3	H3K4me1	1	0.012745211147377302
emissionprobs	12	4	H3K4me2	0	0.9999026297575677
emissionprobs	12	4	H3K4me2	1	9.737024243227514E-5
emissionprobs	12	5	H3K4me3	0	0.9999838735009899
emissionprobs	12	5	H3K4me3	1	1.612649901011326E-5
emissionprobs	12	6	H3K79me2	0	0.9686985175691801
emissionprobs	12	6	H3K79me2	1	0.031301482430819844
emissionprobs	12	7	H3K9ac	0	0.9996766850610115
emissionprobs	12	7	H3K9ac	1	3.233149389885373E-4
emissionprobs	12	8	H3K9me	0	1.0
emissionprobs	12	8	H3K9me	1	0.0
emissionprobs	12	9	H3K9me3	0	1.0
emissionprobs	12	9	H3K9me3	1	0.0
emissionprobs	12	10	H4K20me1	0	0.9770513965875823
emissionprobs	12	10	H4K20me1	1	0.02294860341241758
emissionprobs	13	0	H3K27ac	0	0.9998962367524521
emissionprobs	13	0	H3K27ac	1	1.0376324754783621E-4
emissionprobs	13	1	H3K27me3	0	0.9952776919316344
emissionprobs	13	1	H3K27me3	1	0.004722308068365603
emissionprobs	13	2	H3K36me3	0	0.9986596802369985
emissionprobs	13	2	H3K36me3	1	0.0013403197630015408
emissionprobs	13	3	H3K4me1	0	0.9988670443234478
emissionprobs	13	3	H3K4me1	1	0.001132955676552236
emissionprobs	13	4	H3K4me2	0	0.9996655527204891
emissionprobs	13	4	H3K4me2	1	3.34447279510973E-4
emissionprobs	13	5	H3K4me3	0	0.9999601282014253
emissionprobs	13	5	H3K4me3	1	3.987179857468961E-5
emissionprobs	13	6	H3K79me2	0	0.9997369882845307
emissionprobs	13	6	H3K79me2	1	2.6301171546930967E-4
emissionprobs	13	7	H3K9ac	0	0.9999559285407493
emissionprobs	13	7	H3K9ac	1	4.407145925074938E-5
emissionprobs	13	8	H3K9me	0	1.0
emissionprobs	13	8	H3K9me	1	0.0
emissionprobs	13	9	H3K9me3	0	1.0
emissionprobs	13	9	H3K9me3	1	0.0
emissionprobs	13	10	H4K20me1	0	0.9984440078802986
emissionprobs	13	10	H4K20me1	1	0.001555992119701248
emissionprobs	14	0	H3K27ac	0	0.9999129660675116
emissionprobs	14	0	H3K27ac	1	8.703393248854473E-5
emissionprobs	14	1	H3K27me3	0	0.6109064777351327
emissionprobs	14	1	H3K27me3	1	0.38909352226486726
emissionprobs	14	2	H3K36me3	0	0.9996915847657558
emissionprobs	14	2	H3K36me3	1	3.084152342441896E-4
emissionprobs	14	3	H3K4me1	0	0.9977438080824419
emissionprobs	14	3	H3K4me1	1	0.002256191917558084
emissionprobs	14	4	H3K4me2	0	0.9989555543604106
emissionprobs	14	4	H3K4me2	1	0.0010444456395894647
emissionprobs	14	5	H3K4me3	0	0.999980392116859
emissionprobs	14	5	H3K4me3	1	1.960788314094228E-5
emissionprobs	14	6	H3K79me2	0	0.9999280529136784
emissionprobs	14	6	H3K79me2	1	7.194708632166762E-5
emissionprobs	14	7	H3K9ac	0	0.9999770304838408
emissionprobs	14	7	H3K9ac	1	2.296951615911797E-5
emissionprobs	14	8	H3K9me	0	1.0
emissionprobs	14	8	H3K9me	1	0.0
emissionprobs	14	9	H3K9me3	0	1.0
emissionprobs	14	9	H3K9me3	1	0.0
emissionprobs	14	10	H4K20me1	0	0.9929987499925916
emissionprobs	14	10	H4K20me1	1	0.007001250007408364
emissionprobs	15	0	H3K27ac	0	0.9994265358926531
emissionprobs	15	0	H3K27ac	1	5.734641073468793E-4
emissionprobs	15	1	H3K27me3	0	0.9586892773641338
emissionprobs	15	1	H3K27me3	1	0.04131072263586624
emissionprobs	15	2	H3K36me3	0	0.9031053920100396
emissionprobs	15	2	H3K36me3	1	0.0968946079899603
emissionprobs	15	3	H3K4me1	0	0.9899555191565517
emissionprobs	15	3	H3K4me1	1	0.010044480843448347
emissionprobs	15	4	H3K4me2	0	0.998643964368298
emissionprobs	15	4	H3K4me2	1	0.0013560356317020236
emissionprobs	15	5	H3K4me3	0	0.9957516611339248
emissionprobs	15	5	H3K4me3	1	0.004248338866075263
emissionprobs	15	6	H3K79me2	0	0.9933035394990517
emissionprobs	15	6	H3K79me2	1	0.006696460500948369
emissionprobs	15	7	H3K9ac	0	0.9990623747612879
emissionprobs	15	7	H3K9ac	1	9.376252387120686E-4
emissionprobs	15	8	H3K9me	0	0.0
emissionprobs	15	8	H3K9me	1	1.0
